,source,target,value
3564,G1,G41,0.034807487
3565,G10,G41,0.044847917
3566,G100,G41,0.044027903
3567,G11,G41,0.035519381
3568,G12,G41,0.035080539
3569,G13,G41,0.011439148
3570,G14,G41,0.052687733
3571,G15,G41,0.052925305
3572,G16,G41,0.067658293
3573,G17,G41,0.037089271
3574,G18,G41,0.042961404
3575,G19,G41,0.055973234
3576,G2,G41,0.025886832
3577,G20,G41,0.039130282
3578,G21,G41,0.067827182
3579,G22,G41,0.056589364
3580,G23,G41,0.046409577
3581,G24,G41,0.023063568
3582,G25,G41,0.078906804
3583,G26,G41,0.058004046
3584,G27,G41,0.025053759
3585,G28,G41,0.053687601
3586,G29,G41,0.102688589
3587,G3,G41,0.024648641
3588,G30,G41,0.027324611
3589,G31,G41,0.025275864
3590,G32,G41,0.017919734
3591,G33,G41,0.020698263
3592,G34,G41,0.024966525
3593,G35,G41,0.038140177
3594,G36,G41,0.029264544
3595,G37,G41,0.052460019
3596,G38,G41,0.032986303
3597,G39,G41,0.04336909
3598,G4,G41,0.035104909
3599,G40,G41,0.01574053
3600,G42,G41,0.044326123
3601,G43,G41,0.046194942
3602,G44,G41,0.030120174
3603,G45,G41,0.020805119
3604,G46,G41,0.027111859
3605,G47,G41,0.024345569
3606,G48,G41,0.042485184
3607,G49,G41,0.04326787
3608,G5,G41,0.023040382
3609,G50,G41,0.033784071
3610,G51,G41,0.075256601
3611,G52,G41,0.036965578
3612,G53,G41,0.020951973
3613,G54,G41,0.016796407
3614,G55,G41,0.031656783
3615,G56,G41,0.024282577
3616,G57,G41,0.060019319
3617,G58,G41,0.019156968
3618,G59,G41,0.025948236
3619,G6,G41,0.050608327
3620,G60,G41,0.090766503
3621,G61,G41,0.028418885
3622,G62,G41,0.075619418
3623,G63,G41,0.047114325
3624,G64,G41,0.053180188
3625,G65,G41,0.048210322
3626,G66,G41,0.111612822
3627,G67,G41,0.023927574
3628,G68,G41,0.049882917
3629,G69,G41,0.051988453
3630,G7,G41,0.024305338
3631,G70,G41,0.066267239
3632,G71,G41,0.06601489
3633,G72,G41,0.034873778
3634,G73,G41,0.041352911
3635,G74,G41,0.070129902
3636,G75,G41,0.022268552
3637,G76,G41,0.015869531
3638,G77,G41,0.029551402
3639,G78,G41,0.024154544
3640,G79,G41,0.029243289
3641,G8,G41,0.05468308
3642,G80,G41,0.037722057
3643,G81,G41,0.046947389
3644,G82,G41,0.094222124
3645,G83,G41,0.050039853
3646,G84,G41,0.012526416
3647,G85,G41,0.048828681
3648,G86,G41,0.141904711
3649,G87,G41,0.018199724
3650,G88,G41,0.027249284
3651,G89,G41,0.048878818
3652,G9,G41,0.052341705
3653,G90,G41,0.027653372
3654,G91,G41,0.04606664
3655,G92,G41,0.025303356
3656,G93,G41,0.026216442
3657,G94,G41,0.042619348
3658,G95,G41,0.040210466
3659,G96,G41,0.030467592
3660,G97,G41,0.021919595
3661,G98,G41,0.020553768
3662,G99,G41,0.036854191
