,Unnamed: 0,source,target,value,z_score
0,2178,G1,G29,0.031408347,-0.1628114967931176
1,2179,G10,G29,0.062141831,0.36669810619844073
2,2180,G100,G29,0.086869582,0.7927344649426725
3,2181,G11,G29,0.039077068,-0.03068650204266808
4,2182,G12,G29,0.024210313,-0.2868269883546906
5,2183,G13,G29,0.043439261,0.04447006281677171
6,2184,G14,G29,0.025679864,-0.26150797907524004
7,2185,G15,G29,0.391200576,6.036076996852375
8,2186,G16,G29,0.034000305,-0.11815444939976666
9,2187,G17,G29,0.01691998,-0.41243270661644893
10,2188,G18,G29,0.041697861,0.014467345824142493
11,2189,G19,G29,0.0336754,-0.12375226309247955
12,2190,G2,G29,0.008662031,-0.554709556729327
13,2191,G20,G29,0.035429613,-0.09352878991929069
14,2192,G21,G29,0.432217145,6.742754676716651
15,2193,G22,G29,0.016497797,-0.41970653059032004
16,2194,G23,G29,0.017879433,-0.3959022157316843
17,2195,G24,G29,0.017813837,-0.3970323743533959
18,2196,G25,G29,0.062285292,0.3691698070038154
19,2197,G26,G29,0.081747681,0.7044888314482056
20,2198,G27,G29,0.032588967,-0.14247050234276848
21,2199,G28,G29,0.014402023,-0.4558147849847789
22,2200,G3,G29,0.02091632,-0.3435794517489148
23,2201,G30,G29,0.025807961,-0.2593009858292283
24,2202,G31,G29,0.023610926,-0.29715387392380804
25,2203,G32,G29,0.029006901,-0.2041861980168925
26,2204,G33,G29,0.015485639,-0.43714508004812735
27,2205,G34,G29,0.024507369,-0.2817089872642103
28,2206,G35,G29,0.017788025,-0.39747709132308334
29,2207,G36,G29,0.019902194,-0.3610519080328628
30,2208,G37,G29,0.093366654,0.9046730273044135
31,2209,G38,G29,0.0480442,0.1238089175229399
32,2210,G39,G29,0.037828144,-0.05220431145882891
33,2211,G4,G29,0.045316146,0.07680706148606713
34,2212,G40,G29,0.023293106,-0.30262961959659856
35,2213,G41,G29,0.041198749,0.0058681060839189565
36,2214,G42,G29,0.039456702,-0.024145758122385588
37,2215,G43,G29,0.032254693,-0.14822973527029473
38,2216,G44,G29,0.031273118,-0.1651413678257329
39,2217,G45,G29,0.049972859,0.15703793449335873
40,2218,G46,G29,0.018923271,-0.37791784907258696
41,2219,G47,G29,0.02060167,-0.34900058124341965
42,2220,G48,G29,0.082111506,0.710757200869271
43,2221,G49,G29,0.020942377,-0.343130513655038
44,2222,G5,G29,0.021099493,-0.3404235497851552
45,2223,G50,G29,0.0142582,-0.4582927227165068
46,2224,G51,G29,0.047774937,0.119169764206306
47,2225,G52,G29,0.021106625,-0.34030067199855163
48,2226,G53,G29,0.052017166,0.19225945991373936
49,2227,G54,G29,0.015728922,-0.4329535381863393
50,2228,G55,G29,0.059830538,0.32687665807276883
51,2229,G56,G29,0.014896937,-0.4472878729153577
52,2230,G57,G29,0.015446736,-0.4378153428821484
53,2231,G58,G29,0.041638654,0.013447263783839997
54,2232,G59,G29,0.023120006,-0.3056119730544051
55,2233,G6,G29,0.017744151,-0.39823299990545075
56,2234,G60,G29,0.020423566,-0.3520691490091571
57,2235,G61,G29,0.012187685,-0.49396578782159106
58,2236,G62,G29,0.031912562,-0.15412433706620912
59,2237,G63,G29,0.026515749,-0.24710645094075973
60,2238,G64,G29,0.016146695,-0.42575569444787503
61,2239,G65,G29,0.021607282,-0.3316748133323183
62,2240,G66,G29,0.024773947,-0.27711609402287507
63,2241,G67,G29,0.042066751,0.020822980526916647
64,2242,G68,G29,0.020465145,-0.3513527811615422
65,2243,G69,G29,0.051067643,0.17590005377672768
66,2244,G7,G29,0.027086177,-0.237278502250814
67,2245,G70,G29,0.029136837,-0.20194752049584383
68,2246,G71,G29,0.054558079,0.23603704900406483
69,2247,G72,G29,0.013598449,-0.469659624369547
70,2248,G73,G29,0.01539805,-0.4386541577894088
71,2249,G74,G29,0.042558437,0.029294277131509422
72,2250,G75,G29,0.010470814,-0.523545892752022
73,2251,G76,G29,0.021740961,-0.32937164737110447
74,2252,G77,G29,0.017618653,-0.40039521477689954
75,2253,G78,G29,0.036798185,-0.0699495557398738
76,2254,G79,G29,0.023435249,-0.30018062671645435
77,2255,G8,G29,0.035551524,-0.09142837575178839
78,2256,G80,G29,0.011263849,-0.5098826306237059
79,2257,G81,G29,0.026680767,-0.24426334289396423
80,2258,G82,G29,0.043994374,0.05403414817219235
81,2259,G83,G29,0.160208858,2.0563025953390937
82,2260,G84,G29,0.022983664,-0.3079610200511944
83,2261,G85,G29,0.118245333,1.333309736381862
84,2262,G86,G29,0.022765953,-0.31171197992209276
85,2263,G87,G29,0.028824688,-0.20732556006546146
86,2264,G88,G29,0.02373471,-0.2950211896926058
87,2265,G89,G29,0.024255969,-0.2860403775547507
88,2266,G9,G29,0.042709091,0.03188990669726546
89,2267,G90,G29,0.020410363,-0.35229662453026295
90,2268,G91,G29,0.015294305,-0.4404415885200854
91,2269,G92,G29,0.023490997,-0.29922014005807307
92,2270,G93,G29,0.060078717,0.33115255350202893
93,2271,G94,G29,0.02121044,-0.3385120352323923
94,2272,G95,G29,0.0276104,-0.22824662312480787
95,2273,G96,G29,0.017626515,-0.40025975976311984
96,2274,G97,G29,0.009847409,-0.5342865863243144
97,2275,G98,G29,0.042762405,0.03280845777900729
98,2276,G99,G29,0.02972508,-0.19181263577556398
