,source,target,value
4752,G1,G52,0.0285792
4753,G10,G52,0.11070573
4754,G100,G52,0.022363608
4755,G11,G52,0.049240891
4756,G12,G52,0.022631366
4757,G13,G52,0.136051698
4758,G14,G52,0.016462009
4759,G15,G52,0.050046308
4760,G16,G52,0.091237909
4761,G17,G52,0.036392522
4762,G18,G52,0.029345877
4763,G19,G52,0.01400752
4764,G2,G52,0.016462884
4765,G20,G52,0.030912369
4766,G21,G52,0.058619325
4767,G22,G52,0.021086681
4768,G23,G52,0.026821851
4769,G24,G52,0.011024249
4770,G25,G52,0.023106917
4771,G26,G52,0.032240011
4772,G27,G52,0.038833425
4773,G28,G52,0.031918294
4774,G29,G52,0.042500904
4775,G3,G52,0.075054536
4776,G30,G52,0.035568905
4777,G31,G52,0.020440307
4778,G32,G52,0.0494186
4779,G33,G52,0.015075147
4780,G34,G52,0.018769588
4781,G35,G52,0.021334717
4782,G36,G52,0.023647829
4783,G37,G52,0.036074342
4784,G38,G52,0.061013086
4785,G39,G52,0.040137851
4786,G4,G52,0.030612334
4787,G40,G52,0.033061748
4788,G41,G52,0.034288036
4789,G42,G52,0.026481629
4790,G43,G52,0.025900234
4791,G44,G52,0.038554655
4792,G45,G52,0.029870632
4793,G46,G52,0.02307638
4794,G47,G52,0.040483503
4795,G48,G52,0.048173817
4796,G49,G52,0.056806581
4797,G5,G52,0.031794359
4798,G50,G52,0.015639006
4799,G51,G52,0.046020737
4800,G53,G52,0.029212439
4801,G54,G52,0.014637328
4802,G55,G52,0.033233758
4803,G56,G52,0.025281876
4804,G57,G52,0.025868312
4805,G58,G52,0.039163312
4806,G59,G52,0.043419377
4807,G6,G52,0.031450389
4808,G60,G52,0.024201806
4809,G61,G52,0.027149724
4810,G62,G52,0.177897124
4811,G63,G52,0.048399634
4812,G64,G52,0.031236504
4813,G65,G52,0.035496254
4814,G66,G52,0.027254566
4815,G67,G52,0.0218443
4816,G68,G52,0.036921503
4817,G69,G52,0.029881207
4818,G7,G52,0.03869365
4819,G70,G52,0.064219053
4820,G71,G52,0.038663427
4821,G72,G52,0.052012621
4822,G73,G52,0.025849569
4823,G74,G52,0.030934952
4824,G75,G52,0.030822005
4825,G76,G52,0.026145629
4826,G77,G52,0.04608027
4827,G78,G52,0.061595078
4828,G79,G52,0.041366269
4829,G8,G52,0.033203562
4830,G80,G52,0.033391239
4831,G81,G52,0.032322541
4832,G82,G52,0.058334093
4833,G83,G52,0.040248362
4834,G84,G52,0.036602315
4835,G85,G52,0.045638621
4836,G86,G52,0.416933644
4837,G87,G52,0.020515283
4838,G88,G52,0.032109112
4839,G89,G52,0.025668425
4840,G9,G52,0.030945398
4841,G90,G52,0.040936504
4842,G91,G52,0.058091336
4843,G92,G52,0.021108359
4844,G93,G52,0.032220277
4845,G94,G52,0.02706256
4846,G95,G52,0.032381956
4847,G96,G52,0.031006747
4848,G97,G52,0.016362079
4849,G98,G52,0.01763878
4850,G99,G52,0.040477508
