,source,target,value
4356,G1,G49,0.045543016
4357,G10,G49,0.026420256
4358,G100,G49,0.025677696
4359,G11,G49,0.027468252
4360,G12,G49,0.085156304
4361,G13,G49,0.027290229
4362,G14,G49,0.026442408
4363,G15,G49,0.053592428
4364,G16,G49,0.019197332
4365,G17,G49,0.021578011
4366,G18,G49,0.07795885
4367,G19,G49,0.023429923
4368,G2,G49,0.029153824
4369,G20,G49,0.079939136
4370,G21,G49,0.066420327
4371,G22,G49,0.027828116
4372,G23,G49,0.025345217
4373,G24,G49,0.031538569
4374,G25,G49,0.022819781
4375,G26,G49,0.386969719
4376,G27,G49,0.024897504
4377,G28,G49,0.032291373
4378,G29,G49,0.033655008
4379,G3,G49,0.019542648
4380,G30,G49,0.054136996
4381,G31,G49,0.276462939
4382,G32,G49,0.029019555
4383,G33,G49,0.013618189
4384,G34,G49,0.022252357
4385,G35,G49,0.01740214
4386,G36,G49,0.065870793
4387,G37,G49,0.055549919
4388,G38,G49,0.019311719
4389,G39,G49,0.12896929
4390,G4,G49,0.018749804
4391,G40,G49,0.022262696
4392,G41,G49,0.024509033
4393,G42,G49,0.040341101
4394,G43,G49,0.029073283
4395,G44,G49,0.053301362
4396,G45,G49,0.077168467
4397,G46,G49,0.01313866
4398,G47,G49,0.039898463
4399,G48,G49,0.02287227
4400,G5,G49,0.017451655
4401,G50,G49,0.019322381
4402,G51,G49,0.094327691
4403,G52,G49,0.048228435
4404,G53,G49,0.041362067
4405,G54,G49,0.046066765
4406,G55,G49,0.037615749
4407,G56,G49,0.091761162
4408,G57,G49,0.033085775
4409,G58,G49,0.015973823
4410,G59,G49,0.028722967
4411,G6,G49,0.032056921
4412,G60,G49,0.019214855
4413,G61,G49,0.005389291
4414,G62,G49,0.120546775
4415,G63,G49,0.043032928
4416,G64,G49,0.020039642
4417,G65,G49,0.018332338
4418,G66,G49,0.013614004
4419,G67,G49,0.026092238
4420,G68,G49,0.036910533
4421,G69,G49,0.033478776
4422,G7,G49,0.051778655
4423,G70,G49,0.05467152
4424,G71,G49,0.060403026
4425,G72,G49,0.031567983
4426,G73,G49,0.03373901
4427,G74,G49,0.0386856
4428,G75,G49,0.01507271
4429,G76,G49,0.043918344
4430,G77,G49,0.019293407
4431,G78,G49,0.020475447
4432,G79,G49,0.016858136
4433,G8,G49,0.063564513
4434,G80,G49,0.014805254
4435,G81,G49,0.026917178
4436,G82,G49,0.041332471
4437,G83,G49,0.034701768
4438,G84,G49,0.019252276
4439,G85,G49,0.040911059
4440,G86,G49,0.021480673
4441,G87,G49,0.019911678
4442,G88,G49,0.038358157
4443,G89,G49,0.018089284
4444,G9,G49,0.052948429
4445,G90,G49,0.014444619
4446,G91,G49,0.022105148
4447,G92,G49,0.028366437
4448,G93,G49,0.025904525
4449,G94,G49,0.016361619
4450,G95,G49,0.037966566
4451,G96,G49,0.014775455
4452,G97,G49,0.036829016
4453,G98,G49,0.026215829
4454,G99,G49,0.056523995
