,source,target,value
9702,G1,G98,0.045939434
9703,G10,G98,0.019802948
9704,G100,G98,0.049593284
9705,G11,G98,0.035136339
9706,G12,G98,0.034218131
9707,G13,G98,0.058864412
9708,G14,G98,0.022449448
9709,G15,G98,0.056426236
9710,G16,G98,0.026682927
9711,G17,G98,0.029398334
9712,G18,G98,0.134424665
9713,G19,G98,0.030840072
9714,G2,G98,0.02520729
9715,G20,G98,0.037906176
9716,G21,G98,0.071263733
9717,G22,G98,0.023211789
9718,G23,G98,0.025524401
9719,G24,G98,0.061735874
9720,G25,G98,0.047558431
9721,G26,G98,0.057579988
9722,G27,G98,0.032414202
9723,G28,G98,0.022060617
9724,G29,G98,0.094029122
9725,G3,G98,0.017334852
9726,G30,G98,0.034310124
9727,G31,G98,0.105790352
9728,G32,G98,0.034019504
9729,G33,G98,0.049291359
9730,G34,G98,0.043309779
9731,G35,G98,0.028924042
9732,G36,G98,0.123884648
9733,G37,G98,0.046301008
9734,G38,G98,0.019385869
9735,G39,G98,0.038529363
9736,G4,G98,0.030975424
9737,G40,G98,0.062772265
9738,G41,G98,0.040740196
9739,G42,G98,0.029424056
9740,G43,G98,0.029859456
9741,G44,G98,0.040877428
9742,G45,G98,0.03226873
9743,G46,G98,0.031757386
9744,G47,G98,0.037908362
9745,G48,G98,0.046994212
9746,G49,G98,0.034515953
9747,G5,G98,0.082604201
9748,G50,G98,0.013916481
9749,G51,G98,0.069061165
9750,G52,G98,0.029924319
9751,G53,G98,0.034485344
9752,G54,G98,0.023062904
9753,G55,G98,0.03149946
9754,G56,G98,0.045051611
9755,G57,G98,0.047294044
9756,G58,G98,0.020230554
9757,G59,G98,0.054089198
9758,G6,G98,0.022564367
9759,G60,G98,0.103647638
9760,G61,G98,0.026555771
9761,G62,G98,0.068207965
9762,G63,G98,0.026671711
9763,G64,G98,0.020648814
9764,G65,G98,0.027640279
9765,G66,G98,0.019901223
9766,G67,G98,0.022969482
9767,G68,G98,0.033805047
9768,G69,G98,0.036321036
9769,G7,G98,0.041662793
9770,G70,G98,0.029203463
9771,G71,G98,0.057523587
9772,G72,G98,0.025077096
9773,G73,G98,0.13121058
9774,G74,G98,0.033703526
9775,G75,G98,0.019670456
9776,G76,G98,0.022288329
9777,G77,G98,0.024271888
9778,G78,G98,0.018966974
9779,G79,G98,0.018866694
9780,G8,G98,0.034308344
9781,G80,G98,0.034424732
9782,G81,G98,0.039346834
9783,G82,G98,0.042508981
9784,G83,G98,0.029977828
9785,G84,G98,0.085919158
9786,G85,G98,0.079464646
9787,G86,G98,0.030608259
9788,G87,G98,0.024207655
9789,G88,G98,0.036536523
9790,G89,G98,0.031450272
9791,G9,G98,0.054441523
9792,G90,G98,0.031731848
9793,G91,G98,0.031648018
9794,G92,G98,0.037667717
9795,G93,G98,0.025240123
9796,G94,G98,0.039167076
9797,G95,G98,0.029664308
9798,G96,G98,0.052844024
9799,G97,G98,0.020760744
9800,G99,G98,0.03210151
