,source,target,value
2574,G1,G32,0.014293949
2575,G10,G32,0.036089107
2576,G100,G32,0.025504837
2577,G11,G32,0.035063831
2578,G12,G32,0.045180803
2579,G13,G32,0.035218004
2580,G14,G32,0.017390972
2581,G15,G32,0.065036831
2582,G16,G32,0.040945273
2583,G17,G32,0.025954562
2584,G18,G32,0.030233474
2585,G19,G32,0.041662139
2586,G2,G32,0.054592482
2587,G20,G32,0.028326701
2588,G21,G32,0.062803147
2589,G22,G32,0.037797194
2590,G23,G32,0.044932875
2591,G24,G32,0.021846278
2592,G25,G32,0.026224929
2593,G26,G32,0.042086473
2594,G27,G32,0.033992117
2595,G28,G32,0.028868026
2596,G29,G32,0.039731461
2597,G3,G32,0.025477322
2598,G30,G32,0.026797005
2599,G31,G32,0.022384283
2600,G33,G32,0.019031343
2601,G34,G32,0.020114829
2602,G35,G32,0.011346097
2603,G36,G32,0.028889325
2604,G37,G32,0.032633468
2605,G38,G32,0.127648367
2606,G39,G32,0.044167465
2607,G4,G32,0.057705354
2608,G40,G32,0.022167259
2609,G41,G32,0.014646245
2610,G42,G32,0.051312418
2611,G43,G32,0.025390698
2612,G44,G32,0.057026141
2613,G45,G32,0.03322853
2614,G46,G32,0.024652894
2615,G47,G32,0.021448935
2616,G48,G32,0.036451996
2617,G49,G32,0.027692318
2618,G5,G32,0.02208759
2619,G50,G32,0.047383581
2620,G51,G32,0.515401714
2621,G52,G32,0.027341835
2622,G53,G32,0.042349531
2623,G54,G32,0.014682643
2624,G55,G32,0.035920773
2625,G56,G32,0.020814296
2626,G57,G32,0.041277996
2627,G58,G32,0.029082516
2628,G59,G32,0.044701218
2629,G6,G32,0.047878158
2630,G60,G32,0.017614438
2631,G61,G32,0.014660167
2632,G62,G32,0.019237866
2633,G63,G32,0.049291429
2634,G64,G32,0.017454176
2635,G65,G32,0.051119408
2636,G66,G32,0.026802843
2637,G67,G32,0.024943595
2638,G68,G32,0.027804886
2639,G69,G32,0.028603167
2640,G7,G32,0.041481753
2641,G70,G32,0.098958548
2642,G71,G32,0.137280399
2643,G72,G32,0.016989917
2644,G73,G32,0.014758636
2645,G74,G32,0.035578888
2646,G75,G32,0.026975906
2647,G76,G32,0.056381264
2648,G77,G32,0.043800708
2649,G78,G32,0.023741919
2650,G79,G32,0.033020171
2651,G8,G32,0.034212439
2652,G80,G32,0.027896332
2653,G81,G32,0.030580975
2654,G82,G32,0.101202694
2655,G83,G32,0.022091122
2656,G84,G32,0.022846012
2657,G85,G32,0.060281429
2658,G86,G32,0.015510615
2659,G87,G32,0.033060966
2660,G88,G32,0.06018234
2661,G89,G32,0.03185697
2662,G9,G32,0.050862347
2663,G90,G32,0.038585445
2664,G91,G32,0.036593209
2665,G92,G32,0.032876456
2666,G93,G32,0.031841486
2667,G94,G32,0.046943512
2668,G95,G32,0.049893982
2669,G96,G32,0.021381285
2670,G97,G32,0.018043375
2671,G98,G32,0.031085989
2672,G99,G32,0.046316639
