,source,target,value
7821,G1,G80,0.02522365
7822,G10,G80,0.061548995
7823,G100,G80,0.071130005
7824,G11,G80,0.037108415
7825,G12,G80,0.024749437
7826,G13,G80,0.020640959
7827,G14,G80,0.020981335
7828,G15,G80,0.065833073
7829,G16,G80,0.015426008
7830,G17,G80,0.031851869
7831,G18,G80,0.025161624
7832,G19,G80,0.014576695
7833,G2,G80,0.023992011
7834,G20,G80,0.100499374
7835,G21,G80,0.058118464
7836,G22,G80,0.026054958
7837,G23,G80,0.044354766
7838,G24,G80,0.083725365
7839,G25,G80,0.089539198
7840,G26,G80,0.070958846
7841,G27,G80,0.0266186
7842,G28,G80,0.034577364
7843,G29,G80,0.032305503
7844,G3,G80,0.023380406
7845,G30,G80,0.02754321
7846,G31,G80,0.040630696
7847,G32,G80,0.029959163
7848,G33,G80,0.031281662
7849,G34,G80,0.038518278
7850,G35,G80,0.015412243
7851,G36,G80,0.023803546
7852,G37,G80,0.052221858
7853,G38,G80,0.037478908
7854,G39,G80,0.080248965
7855,G4,G80,0.027162277
7856,G40,G80,0.022064959
7857,G41,G80,0.026481468
7858,G42,G80,0.029251429
7859,G43,G80,0.027691503
7860,G44,G80,0.019671932
7861,G45,G80,0.025138601
7862,G46,G80,0.033696901
7863,G47,G80,0.03631668
7864,G48,G80,0.049981103
7865,G49,G80,0.034080279
7866,G5,G80,0.035557347
7867,G50,G80,0.08154436
7868,G51,G80,0.249305533
7869,G52,G80,0.021722643
7870,G53,G80,0.081511441
7871,G54,G80,0.02666008
7872,G55,G80,0.068396467
7873,G56,G80,0.013245504
7874,G57,G80,0.024887344
7875,G58,G80,0.023189669
7876,G59,G80,0.0221577
7877,G6,G80,0.022257751
7878,G60,G80,0.02211746
7879,G61,G80,0.026751928
7880,G62,G80,0.127412962
7881,G63,G80,0.036425362
7882,G64,G80,0.019183411
7883,G65,G80,0.023057985
7884,G66,G80,0.042057413
7885,G67,G80,0.063868313
7886,G68,G80,0.05750486
7887,G69,G80,0.046185679
7888,G7,G80,0.043124761
7889,G70,G80,0.038805889
7890,G71,G80,0.054522146
7891,G72,G80,0.030197295
7892,G73,G80,0.064147915
7893,G74,G80,0.042648051
7894,G75,G80,0.028821365
7895,G76,G80,0.024613175
7896,G77,G80,0.015664324
7897,G78,G80,0.141321029
7898,G79,G80,0.040237807
7899,G8,G80,0.036275081
7900,G81,G80,0.043394133
7901,G82,G80,0.060726456
7902,G83,G80,0.023300813
7903,G84,G80,0.022935405
7904,G85,G80,0.068565332
7905,G86,G80,0.038088551
7906,G87,G80,0.021105182
7907,G88,G80,0.06872449
7908,G89,G80,0.020718216
7909,G9,G80,0.034711074
7910,G90,G80,0.016718562
7911,G91,G80,0.02643702
7912,G92,G80,0.021506429
7913,G93,G80,0.035325753
7914,G94,G80,0.034643183
7915,G95,G80,0.024423007
7916,G96,G80,0.054804924
7917,G97,G80,0.025605907
7918,G98,G80,0.028964951
7919,G99,G80,0.038994161
