,Unnamed: 0,source,target,value,z_score
0,4158,G1,G47,0.042762675,0.034417369381719645
1,4159,G10,G47,0.035315704,-0.23958320432059885
2,4160,G100,G47,0.043170902,0.049437493966705354
3,4161,G11,G47,0.053455545,0.4278461224310214
4,4162,G12,G47,0.030744503,-0.40777396221513257
5,4163,G13,G47,0.016591655,-0.9285076231252815
6,4164,G14,G47,0.042385784,0.020550207790350508
7,4165,G15,G47,0.04630211,0.16464578313303763
8,4166,G16,G47,0.018742716,-0.8493624313327146
9,4167,G17,G47,0.023424701,-0.677095535696133
10,4168,G18,G47,0.036161734,-0.20845474882246787
11,4169,G19,G47,0.020917355,-0.7693497209843816
12,4170,G2,G47,0.032978864,-0.32556386688132694
13,4171,G20,G47,0.040953026,-0.032166059531838376
14,4172,G21,G47,0.05269394,0.3998239632290379
15,4173,G22,G47,0.040722684,-0.04064116171066222
16,4174,G23,G47,0.02003214,-0.8019199321279321
17,4175,G24,G47,0.042909024,0.03980207008228096
18,4176,G25,G47,0.099578401,2.12487018829477
19,4177,G26,G47,0.054012663,0.44834447694588236
20,4178,G27,G47,0.035573426,-0.2301006944711973
21,4179,G28,G47,0.012431349,-1.0815800912169657
22,4180,G29,G47,0.042248448,0.015497127445337466
23,4181,G3,G47,0.037932532,-0.1433007865053167
24,4182,G30,G47,0.031916725,-0.3646437418199572
25,4183,G31,G47,0.168567884,4.6632388648246454
26,4184,G32,G47,0.026879913,-0.549965985941859
27,4185,G33,G47,0.032744819,-0.3341752156125303
28,4186,G34,G47,0.023930772,-0.6584753820344488
29,4187,G35,G47,0.050681501,0.3257791682995395
30,4188,G36,G47,0.018563337,-0.8559624233173951
31,4189,G37,G47,0.057881262,0.5906840060543234
32,4190,G38,G47,0.033090331,-0.32146259913785413
33,4191,G39,G47,0.033226108,-0.31646687995275474
34,4192,G4,G47,0.036534676,-0.19473288499921806
35,4193,G40,G47,0.012906847,-1.0640848270626801
36,4194,G41,G47,0.018399666,-0.8619844620628706
37,4195,G42,G47,0.090387539,1.7867056565920365
38,4196,G43,G47,0.036260113,-0.20483503519121304
39,4197,G44,G47,0.023478355,-0.6751214140322479
40,4198,G45,G47,0.033197676,-0.31751299444836684
41,4199,G46,G47,0.013810618,-1.0308318746212755
42,4200,G48,G47,0.05786469,0.5900742631793485
43,4201,G49,G47,0.083274443,1.5249895327076186
44,4202,G5,G47,0.037289979,-0.1669425988118431
45,4203,G50,G47,0.040154282,-0.06155469475564736
46,4204,G51,G47,0.047942104,0.2249870006385657
47,4205,G52,G47,0.056523533,0.5407283227392848
48,4206,G53,G47,0.032079855,-0.3586416083903979
49,4207,G54,G47,0.013155757,-1.054926542063283
50,4208,G55,G47,0.028633857,-0.4854321422835797
51,4209,G56,G47,0.03279715,-0.3322497718284179
52,4210,G57,G47,0.067331628,0.9383966137302344
53,4211,G58,G47,0.039243997,-0.09504732044636298
54,4212,G59,G47,0.04835597,0.24021460410793377
55,4213,G6,G47,0.023507463,-0.6740504270901304
56,4214,G60,G47,0.025890306,-0.5863771503924565
57,4215,G61,G47,0.030623153,-0.412238860711283
58,4216,G62,G47,0.033115371,-0.32054128839748663
59,4217,G63,G47,0.044247951,0.08906596088372565
60,4218,G64,G47,0.027879112,-0.51320189766452
61,4219,G65,G47,0.039108083,-0.10004808034917141
62,4220,G66,G47,0.02834011,-0.4962401401290573
63,4221,G67,G47,0.024475865,-0.6384194700776118
64,4222,G68,G47,0.017379127,-0.8995337249088774
65,4223,G69,G47,0.068930207,0.9972140259517236
66,4224,G7,G47,0.033842885,-0.2937734584466959
67,4225,G70,G47,0.077369159,1.3077131120158876
68,4226,G71,G47,0.111049218,2.5469223809022496
69,4227,G72,G47,0.028791024,-0.47964940885181634
70,4228,G73,G47,0.069364883,1.013207303403003
71,4229,G74,G47,0.036137901,-0.20933164973601345
72,4230,G75,G47,0.026277616,-0.5721266367002928
73,4231,G76,G47,0.049634218,0.2872458984870635
74,4232,G77,G47,0.025873699,-0.5869881810420285
75,4233,G78,G47,0.040999299,-0.03046351113371394
76,4234,G79,G47,0.043520245,0.06229106656943063
77,4235,G8,G47,0.022138076,-0.7244350497267027
78,4236,G80,G47,0.033292953,-0.3140074144399802
79,4237,G81,G47,0.034790481,-0.2589080282418487
80,4238,G82,G47,0.076562562,1.2780355369660357
81,4239,G83,G47,0.026362674,-0.5689970500807167
82,4240,G84,G47,0.012863637,-1.0656746767867729
83,4241,G85,G47,0.032225733,-0.35327423745655817
84,4242,G86,G47,0.021159642,-0.760435119732327
85,4243,G87,G47,0.030749154,-0.40760283536795
86,4244,G88,G47,0.051701901,0.36332331684071784
87,4245,G89,G47,0.027762983,-0.5174746969843342
88,4246,G9,G47,0.042303468,0.017521509112071558
89,4247,G90,G47,0.023383441,-0.678613637978384
90,4248,G91,G47,0.027846526,-0.5144008526080351
91,4249,G92,G47,0.19107233,5.491257547165808
92,4250,G93,G47,0.078766146,1.359113236906219
93,4251,G94,G47,0.053352927,0.42407044089927054
94,4252,G95,G47,0.046124069,0.15809502093152838
95,4253,G96,G47,0.029641251,-0.4483665307827059
96,4254,G97,G47,0.039685061,-0.07881900573432249
97,4255,G98,G47,0.033190916,-0.31776171891341826
98,4256,G99,G47,0.050418319,0.3160957656129812
