,source,target,value
6435,G1,G68,0.018787423
6436,G10,G68,0.026990522
6437,G100,G68,0.028006012
6438,G11,G68,0.025694648
6439,G12,G68,0.073057786
6440,G13,G68,0.021128983
6441,G14,G68,0.017394908
6442,G15,G68,0.059525598
6443,G16,G68,0.020264667
6444,G17,G68,0.019691104
6445,G18,G68,0.021267012
6446,G19,G68,0.018391362
6447,G2,G68,0.012652645
6448,G20,G68,0.034478721
6449,G21,G68,0.04821724
6450,G22,G68,0.022579593
6451,G23,G68,0.021302339
6452,G24,G68,0.011823335
6453,G25,G68,0.059869195
6454,G26,G68,0.061802654
6455,G27,G68,0.076092091
6456,G28,G68,0.02232336
6457,G29,G68,0.018092027
6458,G3,G68,0.034636274
6459,G30,G68,0.023202798
6460,G31,G68,0.035033394
6461,G32,G68,0.025219243
6462,G33,G68,0.008588244
6463,G34,G68,0.023403975
6464,G35,G68,0.048496794
6465,G36,G68,0.062980875
6466,G37,G68,0.052290426
6467,G38,G68,0.03468256
6468,G39,G68,0.038436581
6469,G4,G68,0.025543814
6470,G40,G68,0.029754976
6471,G41,G68,0.034456155
6472,G42,G68,0.019955025
6473,G43,G68,0.0132063
6474,G44,G68,0.034217925
6475,G45,G68,0.03688908
6476,G46,G68,0.018516205
6477,G47,G68,0.016983659
6478,G48,G68,0.07676912
6479,G49,G68,0.024814204
6480,G5,G68,0.012499254
6481,G50,G68,0.168333797
6482,G51,G68,0.072015399
6483,G52,G68,0.023302816
6484,G53,G68,0.036404237
6485,G54,G68,0.023759347
6486,G55,G68,0.023316959
6487,G56,G68,0.013880436
6488,G57,G68,0.031960874
6489,G58,G68,0.033705601
6490,G59,G68,0.021241678
6491,G6,G68,0.012129649
6492,G60,G68,0.015882014
6493,G61,G68,0.015134713
6494,G62,G68,0.020991475
6495,G63,G68,0.05904915
6496,G64,G68,0.021853766
6497,G65,G68,0.008981745
6498,G66,G68,0.01371311
6499,G67,G68,0.723037096
6500,G69,G68,0.010952049
6501,G7,G68,0.018708732
6502,G70,G68,0.034391435
6503,G71,G68,0.048887317
6504,G72,G68,0.01013366
6505,G73,G68,0.039281849
6506,G74,G68,0.025088807
6507,G75,G68,0.014722712
6508,G76,G68,0.017059352
6509,G77,G68,0.016863911
6510,G78,G68,0.010880479
6511,G79,G68,0.029111387
6512,G8,G68,0.05096578
6513,G80,G68,0.051388354
6514,G81,G68,0.018690484
6515,G82,G68,0.055484828
6516,G83,G68,0.011952447
6517,G84,G68,0.056421068
6518,G85,G68,0.070731909
6519,G86,G68,0.017513966
6520,G87,G68,0.022600289
6521,G88,G68,0.06912533
6522,G89,G68,0.019075974
6523,G9,G68,0.04820576
6524,G90,G68,0.022276062
6525,G91,G68,0.058865772
6526,G92,G68,0.021971465
6527,G93,G68,0.027543139
6528,G94,G68,0.017304534
6529,G95,G68,0.011762584
6530,G96,G68,0.017041076
6531,G97,G68,0.009302151
6532,G98,G68,0.026242477
6533,G99,G68,0.276658177
