,source,target,value
66,G20,G64,0.12936
229,G41,G64,0.048144
248,G45,G64,0.044833
324,G53,G64,0.03747
337,G6,G64,0.035624
365,G30,G64,0.033616
625,G77,G64,0.022527
646,G22,G64,0.022024
707,G86,G64,0.020576
732,G52,G64,0.020153
768,G19,G64,0.01945
954,G37,G64,0.016656
1083,G72,G64,0.015269
1119,G13,G64,0.014894
1121,G83,G64,0.014855
1188,G39,G64,0.014281
1202,G82,G64,0.014215
1271,G55,G64,0.013625
1327,G70,G64,0.013178
1444,G48,G64,0.012367
1459,G46,G64,0.012301
1498,G35,G64,0.012003
1795,G1,G64,0.010706
2157,G44,G64,0.009392
2355,G65,G64,0.008797
2514,G89,G64,0.008373
2575,G91,G64,0.008246
2630,G7,G64,0.008132
2633,G21,G64,0.00813
2644,G8,G64,0.008114
2646,G79,G64,0.008107
2716,G81,G64,0.007947
2882,G60,G64,0.007638
2945,G99,G64,0.007534
2992,G66,G64,0.007462
3042,G73,G64,0.007396
3143,G34,G64,0.007216
3241,G93,G64,0.007048
3292,G9,G64,0.006962
3293,G27,G64,0.006956
3361,G50,G64,0.006839
3521,G43,G64,0.006629
3821,G74,G64,0.006209
3867,G98,G64,0.006143
3971,G63,G64,0.006017
4032,G85,G64,0.005945
4109,G40,G64,0.00586
4125,G15,G64,0.005838
4127,G76,G64,0.005836
4156,G92,G64,0.005808
4333,G75,G64,0.005626
4621,G84,G64,0.005325
4747,G59,G64,0.005193
4754,G97,G64,0.005189
4761,G80,G64,0.005184
4862,G69,G64,0.005085
4901,G95,G64,0.00504
4920,G5,G64,0.005026
4923,G49,G64,0.005022
4924,G16,G64,0.005022
4941,G25,G64,0.005008
4968,G90,G64,0.00499
4971,G87,G64,0.004986
5102,G67,G64,0.004847
5138,G32,G64,0.004814
5149,G96,G64,0.004803
5402,G18,G64,0.004598
5475,G10,G64,0.004539
5709,G28,G64,0.004358
5772,G61,G64,0.00431
5847,G14,G64,0.004256
6144,G47,G64,0.004035
6156,G94,G64,0.004018
6262,G58,G64,0.003926
6302,G88,G64,0.003901
6336,G2,G64,0.003874
6384,G100,G64,0.003839
6401,G24,G64,0.003831
6597,G38,G64,0.003699
6711,G56,G64,0.003612
6758,G26,G64,0.003575
6770,G62,G64,0.003564
6790,G36,G64,0.003548
6813,G31,G64,0.003529
6832,G33,G64,0.003515
6892,G12,G64,0.003472
7076,G17,G64,0.003326
7103,G78,G64,0.003306
7152,G42,G64,0.003273
7264,G11,G64,0.00319
7285,G4,G64,0.003175
7477,G29,G64,0.003032
7488,G68,G64,0.00302
7585,G23,G64,0.002949
7886,G51,G64,0.002714
7934,G71,G64,0.002687
8301,G57,G64,0.002398
8359,G3,G64,0.002343
8377,G54,G64,0.002331
