,source,target,value
98,G53,G12,0.094608
212,G44,G12,0.051383
214,G36,G12,0.051008
235,G49,G12,0.046795
440,G28,G12,0.029363
491,G81,G12,0.026366
497,G97,G12,0.026174
508,G68,G12,0.025893
542,G77,G12,0.024703
569,G74,G12,0.024093
645,G42,G12,0.022032
827,G19,G12,0.018482
962,G85,G12,0.016509
977,G37,G12,0.016392
1096,G31,G12,0.015099
1178,G10,G12,0.014336
1213,G62,G12,0.014139
1576,G16,G12,0.011636
1585,G50,G12,0.011593
1610,G73,G12,0.011507
1844,G24,G12,0.010523
2060,G7,G12,0.009684
2075,G15,G12,0.009634
2079,G100,G12,0.009628
2190,G13,G12,0.009281
2303,G54,G12,0.008933
2351,G1,G12,0.008802
2508,G65,G12,0.008414
2634,G46,G12,0.008127
2742,G20,G12,0.007902
2817,G22,G12,0.007772
2819,G45,G12,0.00777
2860,G18,G12,0.007684
2878,G80,G12,0.007646
2897,G2,G12,0.007619
2932,G82,G12,0.007554
2971,G64,G12,0.007496
3010,G95,G12,0.007443
3030,G67,G12,0.007409
3166,G47,G12,0.007169
3197,G33,G12,0.007124
3288,G69,G12,0.006966
3586,G83,G12,0.006517
3594,G89,G12,0.006511
3661,G91,G12,0.006409
3771,G79,G12,0.006259
3793,G34,G12,0.006237
3808,G9,G12,0.006223
3820,G66,G12,0.00621
3857,G48,G12,0.006158
3918,G40,G12,0.006081
4231,G71,G12,0.005729
4250,G14,G12,0.005706
4312,G55,G12,0.005652
4330,G32,G12,0.005628
4453,G78,G12,0.005504
4554,G25,G12,0.005389
4595,G98,G12,0.005352
4643,G35,G12,0.005302
4712,G3,G12,0.00523
4837,G57,G12,0.005107
4907,G51,G12,0.005036
4960,G96,G12,0.004993
4976,G6,G12,0.004982
5107,G90,G12,0.004844
5140,G41,G12,0.004813
5152,G26,G12,0.004801
5162,G52,G12,0.004795
5216,G61,G12,0.00476
5229,G17,G12,0.004752
5317,G43,G12,0.004668
5324,G5,G12,0.004659
5459,G38,G12,0.004558
5614,G30,G12,0.004423
5628,G75,G12,0.004413
5640,G23,G12,0.004403
6011,G86,G12,0.004129
6131,G27,G12,0.004045
6305,G88,G12,0.003897
6417,G63,G12,0.00382
6507,G21,G12,0.003761
6589,G4,G12,0.003705
6736,G59,G12,0.003595
6757,G58,G12,0.003576
6816,G99,G12,0.003526
6962,G29,G12,0.003413
7110,G56,G12,0.003302
7116,G84,G12,0.003299
7235,G72,G12,0.003211
7310,G87,G12,0.003152
7368,G11,G12,0.003115
7542,G76,G12,0.00298
7550,G70,G12,0.002972
7746,G92,G12,0.002822
7915,G60,G12,0.002703
7936,G93,G12,0.002686
8001,G8,G12,0.002639
8646,G94,G12,0.0021
8951,G39,G12,0.001805
