,source,target,value
135,G74,G2,0.07327
146,G71,G2,0.069794
174,G72,G2,0.059705
276,G89,G2,0.042636
412,G32,G2,0.030733
484,G91,G2,0.026748
528,G96,G2,0.02529
697,G99,G2,0.020728
722,G92,G2,0.020342
726,G100,G2,0.020265
787,G88,G2,0.0191
808,G25,G2,0.018769
863,G36,G2,0.017796
1077,G90,G2,0.015317
1166,G4,G2,0.014421
1199,G68,G2,0.01424
1368,G1,G2,0.012853
1447,G54,G2,0.012356
1522,G21,G2,0.011875
1531,G18,G2,0.011817
1740,G39,G2,0.010889
1868,G47,G2,0.010403
2005,G42,G2,0.009865
2026,G60,G2,0.009795
2144,G23,G2,0.00945
2280,G87,G2,0.009007
2340,G20,G2,0.008842
2362,G86,G2,0.00879
2373,G58,G2,0.008764
2384,G13,G2,0.008721
2434,G85,G2,0.008574
2444,G59,G2,0.008555
2476,G40,G2,0.008477
2504,G84,G2,0.00842
2573,G95,G2,0.008249
2636,G83,G2,0.008123
2640,G38,G2,0.00812
2650,G9,G2,0.008096
2672,G77,G2,0.008039
3036,G80,G2,0.007405
3090,G14,G2,0.00729
3164,G16,G2,0.00717
3263,G70,G2,0.007011
3394,G75,G2,0.006793
3494,G17,G2,0.006657
3505,G19,G2,0.006646
3572,G15,G2,0.006539
3733,G3,G2,0.006308
3750,G73,G2,0.006279
3850,G27,G2,0.006171
3881,G10,G2,0.006129
3895,G24,G2,0.006111
3931,G11,G2,0.006068
3949,G12,G2,0.006047
3998,G94,G2,0.005989
4266,G7,G2,0.005691
4491,G65,G2,0.005458
4551,G29,G2,0.00539
4855,G44,G2,0.005091
5128,G63,G2,0.00482
5227,G34,G2,0.004753
5232,G52,G2,0.00475
5304,G79,G2,0.004679
5359,G78,G2,0.00463
5434,G61,G2,0.004579
5442,G51,G2,0.004573
5484,G66,G2,0.004533
5661,G33,G2,0.004386
5707,G62,G2,0.004358
5712,G43,G2,0.004356
5735,G41,G2,0.004337
5756,G81,G2,0.004321
5801,G28,G2,0.004292
5804,G64,G2,0.00429
6046,G22,G2,0.004102
6072,G97,G2,0.004085
6146,G30,G2,0.004031
6162,G57,G2,0.004008
6178,G98,G2,0.003993
6218,G50,G2,0.003956
6230,G6,G2,0.003948
6392,G45,G2,0.003837
6513,G46,G2,0.003758
6521,G48,G2,0.003755
6669,G5,G2,0.003645
6681,G35,G2,0.003635
6692,G76,G2,0.003628
6840,G69,G2,0.003509
6854,G67,G2,0.0035
7123,G37,G2,0.003291
7355,G53,G2,0.003126
7499,G93,G2,0.003012
7560,G82,G2,0.002966
7699,G49,G2,0.002858
7789,G8,G2,0.002789
7833,G55,G2,0.002764
8015,G56,G2,0.002625
8150,G31,G2,0.002523
8472,G26,G2,0.002254
