,Unnamed: 0,source,target,value,z_score
0,39,G49,G56,0.200502,9.294782480725056
1,230,G27,G56,0.048002,1.8527822608110447
2,446,G76,G56,0.028996,0.9252894334032697
3,506,G4,G56,0.025923,0.7753270289718223
4,609,G17,G56,0.023012,0.6332702247739883
5,627,G67,G56,0.022435,0.6051126239419201
6,635,G62,G56,0.022297,0.598378223742916
7,695,G7,G56,0.020827,0.526642221623089
8,713,G28,G56,0.020462,0.5088302210967376
9,892,G66,G56,0.017482,0.36340621679940155
10,904,G44,G56,0.017342,0.35657421659751326
11,913,G25,G56,0.017161,0.3477414163365005
12,958,G79,G56,0.016579,0.3193398154972222
13,1071,G19,G56,0.015371,0.26038941375521474
14,1164,G75,G56,0.014449,0.21539581242563632
15,1268,G63,G56,0.013692,0.17845421133399755
16,1285,G92,G56,0.013497,0.16893821105279608
17,1305,G34,G56,0.01336,0.162252610855234
18,1454,G72,G56,0.012329,0.11193980936847105
19,1481,G61,G56,0.012144,0.10291180910169015
20,1538,G91,G56,0.011798,0.08602700860273767
21,1598,G8,G56,0.011557,0.07426620825520143
22,1688,G41,G56,0.011098,0.05186700759329634
23,1841,G22,G56,0.01053,0.024148606774206743
24,1996,G26,G56,0.009895,-0.006839394141500783
25,2044,G78,G56,0.009738,-0.014500994367904018
26,2149,G54,G56,0.009429,-0.029580194813500285
27,2219,G52,G56,0.009203,-0.04060899513940566
28,2486,G14,G56,0.008462,-0.07676979620797138
29,2656,G47,G56,0.008086,-0.09511859675018566
30,2661,G87,G56,0.008069,-0.09594819677470065
31,2842,G33,G56,0.007721,-0.11293059727653718
32,3027,G50,G56,0.007412,-0.12800979772213344
33,3152,G65,G56,0.007195,-0.13859939803506027
34,3163,G99,G56,0.007171,-0.13977059806966968
35,3216,G48,G56,0.007086,-0.1439185981922447
36,3247,G96,G56,0.00704,-0.1461633982585794
37,3259,G43,G56,0.007014,-0.14743219829607296
38,3289,G68,G56,0.006965,-0.14982339836673386
39,3332,G12,G56,0.006886,-0.15367859848065654
40,3449,G16,G56,0.006719,-0.16182819872148038
41,3712,G86,G56,0.006335,-0.18056739927523108
42,3797,G100,G56,0.006231,-0.1856425994252052
43,3805,G30,G56,0.006224,-0.18598419943529962
44,3830,G59,G56,0.006195,-0.18739939947711937
45,3888,G21,G56,0.006118,-0.1911569995881579
46,4037,G23,G56,0.00594,-0.19984339984484442
47,4096,G1,G56,0.005872,-0.20316179994290445
48,4155,G35,G56,0.005809,-0.20623620003375417
49,4184,G40,G56,0.005772,-0.20804180008711035
50,4191,G3,G56,0.005769,-0.20818820009143654
51,4280,G53,G56,0.005675,-0.21277540022699007
52,4369,G98,G56,0.005588,-0.21702100035244923
53,4389,G84,G56,0.005565,-0.21814340038561658
54,4401,G74,G56,0.005554,-0.21868020040147923
55,4440,G64,G56,0.005515,-0.22058340045771954
56,4590,G77,G56,0.005355,-0.22839140068844896
57,4639,G81,G56,0.005309,-0.2306362007547837
58,4684,G6,G56,0.005252,-0.23341780083698108
59,4745,G97,G56,0.005199,-0.23600420091341023
60,5233,G57,G56,0.004749,-0.2579642015623368
61,5308,G2,G56,0.004675,-0.26157540166904913
62,5384,G95,G56,0.004614,-0.26455220175701477
63,5389,G39,G56,0.00461,-0.264747401762783
64,5515,G58,G56,0.004511,-0.26957860190554683
65,5839,G69,G56,0.00426,-0.2818274022675037
66,5979,G88,G56,0.004157,-0.28685380241603575
67,6116,G36,G56,0.004054,-0.2918802025645678
68,6219,G45,G56,0.003955,-0.2967114027073317
69,6270,G37,G56,0.003923,-0.29827300275347757
70,6291,G82,G56,0.003906,-0.2991026027779926
71,6317,G15,G56,0.003889,-0.2999322028025076
72,6350,G5,G56,0.003864,-0.3011522028385591
73,6441,G13,G56,0.003804,-0.30408020292508264
74,6523,G60,G56,0.003753,-0.30656900299862766
75,6538,G11,G56,0.003741,-0.3071546030159324
76,6647,G9,G56,0.003666,-0.31081460312408676
77,6796,G89,G56,0.003543,-0.31681700330146
78,6865,G83,G56,0.003491,-0.3193546033764471
79,6924,G24,G56,0.003446,-0.3215506034413398
80,7247,G55,G56,0.003204,-0.33336020379031805
81,7266,G94,G56,0.003189,-0.334092203811949
82,7401,G10,G56,0.00309,-0.3389234039547128
83,7451,G42,G56,0.003058,-0.3404850040008587
84,7496,G38,G56,0.003014,-0.3426322040643093
85,7504,G90,G56,0.003008,-0.3429250040729616
86,7518,G29,G56,0.003001,-0.34326660408305604
87,7672,G73,G56,0.002883,-0.34902500425321903
88,7982,G20,G56,0.002659,-0.3599562045762403
89,8174,G46,G56,0.002498,-0.3678130048084118
90,8224,G70,G56,0.002452,-0.3700578048747465
91,8226,G80,G56,0.00245,-0.3701554048776306
92,8260,G85,G56,0.002426,-0.37132660491224
93,8409,G71,G56,0.002301,-0.3774266050924974
94,8495,G32,G56,0.002229,-0.38094020519632565
95,8557,G31,G56,0.002182,-0.38323380526410245
96,8609,G93,G56,0.002133,-0.38562500533476335
97,8717,G18,G56,0.002039,-0.3902122054703169
98,9692,G51,G56,0.00084,-0.4487234071993457
