,source,target,value
47,G68,G99,0.172873
54,G20,G99,0.152837
62,G8,G99,0.132207
129,G51,G99,0.075932
255,G70,G99,0.04422
327,G82,G99,0.037276
445,G50,G99,0.029172
671,G74,G99,0.021325
985,G36,G99,0.01625
993,G67,G99,0.016189
1114,G48,G99,0.014931
1663,G39,G99,0.011249
2121,G9,G99,0.009519
2655,G57,G99,0.008088
3446,G60,G99,0.006721
3593,G72,G99,0.006512
3688,G90,G99,0.006374
3757,G41,G99,0.006274
3941,G2,G99,0.006055
4287,G91,G99,0.005671
4749,G58,G99,0.005192
4798,G92,G99,0.00515
5016,G71,G99,0.004941
5048,G40,G99,0.004908
5113,G85,G99,0.004841
5147,G77,G99,0.004804
5205,G32,G99,0.00477
5276,G4,G99,0.004704
5631,G44,G99,0.004411
5663,G19,G99,0.004385
5899,G16,G99,0.004216
5909,G21,G99,0.00421
5924,G88,G99,0.004199
6358,G37,G99,0.003856
6381,G45,G99,0.00384
6415,G30,G99,0.00382
6433,G56,G99,0.003809
6665,G10,G99,0.003652
6689,G65,G99,0.00363
6752,G69,G99,0.003582
6833,G64,G99,0.003514
7142,G47,G99,0.00328
7183,G94,G99,0.003253
7274,G18,G99,0.003185
7323,G11,G99,0.003144
7344,G3,G99,0.003131
7492,G49,G99,0.003018
7615,G15,G99,0.002929
7659,G81,G99,0.002893
7735,G75,G99,0.002832
7762,G52,G99,0.002806
7763,G89,G99,0.002806
7801,G54,G99,0.002783
7814,G100,G99,0.002776
7914,G76,G99,0.002704
8089,G62,G99,0.002578
8104,G24,G99,0.002564
8186,G25,G99,0.002487
8209,G86,G99,0.002466
8221,G95,G99,0.002454
8318,G96,G99,0.002377
8351,G7,G99,0.00235
8378,G79,G99,0.002331
8382,G80,G99,0.002326
8393,G83,G99,0.002317
8537,G43,G99,0.002196
8562,G33,G99,0.002177
8576,G17,G99,0.00217
8590,G93,G99,0.002157
8662,G28,G99,0.00209
8680,G84,G99,0.002071
8697,G98,G99,0.002055
8782,G55,G99,0.001985
8792,G6,G99,0.001976
8852,G1,G99,0.001919
8869,G46,G99,0.001905
8907,G29,G99,0.001858
8923,G53,G99,0.001843
9006,G87,G99,0.001741
9009,G59,G99,0.001736
9053,G63,G99,0.001686
9089,G5,G99,0.001645
9224,G26,G99,0.001482
9261,G78,G99,0.00144
9278,G31,G99,0.001422
9285,G14,G99,0.001414
9314,G42,G99,0.001389
9315,G73,G99,0.001387
9378,G38,G99,0.00131
9391,G35,G99,0.00129
9437,G61,G99,0.00123
9465,G23,G99,0.001187
9477,G34,G99,0.001171
9478,G27,G99,0.001167
9483,G12,G99,0.001161
9494,G97,G99,0.001145
9548,G13,G99,0.001066
9603,G66,G99,0.000982
9805,G22,G99,0.000574
