,source,target,value
13,G7,G18,0.38772
300,G22,G18,0.039993
541,G98,G18,0.024716
876,G59,G18,0.017681
877,G89,G18,0.017677
1099,G72,G18,0.015058
1170,G1,G18,0.014392
1187,G69,G18,0.014286
1191,G49,G18,0.014276
1373,G4,G18,0.012822
1701,G57,G18,0.01105
1796,G66,G18,0.010694
1797,G56,G18,0.010688
2240,G40,G18,0.009135
2326,G29,G18,0.008879
2335,G10,G18,0.008857
2356,G79,G18,0.008797
2491,G34,G18,0.008458
2526,G35,G18,0.00835
2582,G65,G18,0.008239
2586,G70,G18,0.008228
2850,G30,G18,0.007703
2900,G28,G18,0.007608
2914,G13,G18,0.007575
2997,G83,G18,0.007458
3000,G52,G18,0.007453
3002,G38,G18,0.00745
3048,G60,G18,0.007373
3053,G36,G18,0.007354
3074,G100,G18,0.00732
3359,G27,G18,0.00684
3525,G64,G18,0.006617
3662,G54,G18,0.006408
3696,G42,G18,0.00636
3868,G99,G18,0.006142
3984,G15,G18,0.006003
4080,G45,G18,0.005885
4151,G33,G18,0.005813
4415,G2,G18,0.00554
4421,G24,G18,0.005534
4537,G41,G18,0.00541
4585,G31,G18,0.005364
4586,G92,G18,0.005361
4917,G93,G18,0.005028
5176,G26,G18,0.004788
5331,G17,G18,0.004656
5447,G86,G18,0.00457
5488,G80,G18,0.004532
5518,G44,G18,0.004511
5519,G5,G18,0.00451
5644,G75,G18,0.004398
5791,G76,G18,0.004298
5932,G43,G18,0.004193
5974,G20,G18,0.004162
6145,G71,G18,0.004033
6161,G11,G18,0.004009
6182,G37,G18,0.003988
6196,G61,G18,0.003977
6216,G6,G18,0.003959
6267,G91,G18,0.003924
6277,G78,G18,0.003919
6329,G53,G18,0.003878
6357,G14,G18,0.003858
6635,G84,G18,0.003672
6650,G8,G18,0.003663
6730,G16,G18,0.003597
6878,G77,G18,0.003481
6992,G50,G18,0.003388
7003,G21,G18,0.003378
7041,G46,G18,0.003352
7124,G47,G18,0.003291
7335,G25,G18,0.003135
7350,G88,G18,0.003128
7371,G74,G18,0.003113
7382,G85,G18,0.003105
7396,G32,G18,0.003094
7454,G97,G18,0.003056
7493,G51,G18,0.003016
7510,G67,G18,0.003005
7537,G63,G18,0.002984
7559,G55,G18,0.002967
7643,G19,G18,0.002911
7675,G96,G18,0.00288
7714,G23,G18,0.002851
7768,G95,G18,0.002804
7807,G90,G18,0.00278
7818,G73,G18,0.002773
7916,G94,G18,0.002702
7989,G82,G18,0.002651
8008,G58,G18,0.002631
8055,G12,G18,0.002598
8064,G87,G18,0.002595
8116,G39,G18,0.002549
8158,G62,G18,0.002511
8163,G68,G18,0.002504
8297,G81,G18,0.0024
8548,G48,G18,0.002191
8698,G9,G18,0.002054
9196,G3,G18,0.001511
