,source,target,value
109,G62,G100,0.088576
157,G87,G100,0.064051
177,G25,G100,0.059
198,G11,G100,0.053368
224,G45,G100,0.050045
238,G9,G100,0.046594
274,G48,G100,0.042734
298,G74,G100,0.040037
307,G85,G100,0.039509
411,G32,G100,0.030767
477,G95,G100,0.027055
605,G2,G100,0.023145
869,G21,G100,0.017709
1064,G55,G100,0.015482
1300,G20,G100,0.01341
1494,G16,G100,0.012016
1542,G67,G100,0.011789
1595,G30,G100,0.011572
1653,G3,G100,0.011294
1807,G60,G100,0.010639
1851,G4,G100,0.010486
1869,G83,G100,0.010402
2083,G93,G100,0.009614
2427,G39,G100,0.008581
2429,G80,G100,0.008577
2879,G43,G100,0.007645
2961,G61,G100,0.007505
3100,G69,G100,0.007278
3113,G22,G100,0.007258
3204,G84,G100,0.007112
3257,G37,G100,0.007023
3298,G5,G100,0.006946
3365,G13,G100,0.006837
3464,G71,G100,0.006698
3616,G8,G100,0.006476
3951,G82,G100,0.006047
4076,G53,G100,0.005888
4197,G46,G100,0.005762
4406,G72,G100,0.005546
4777,G14,G100,0.005171
5089,G73,G100,0.004862
5327,G65,G100,0.004658
5748,G51,G100,0.004326
5933,G70,G100,0.004191
6104,G27,G100,0.004061
6155,G29,G100,0.004019
6258,G15,G100,0.003929
6287,G99,G100,0.003912
6324,G1,G100,0.00388
6578,G34,G100,0.003714
7081,G24,G100,0.003322
7106,G33,G100,0.003305
7229,G79,G100,0.003214
7253,G31,G100,0.003196
7312,G64,G100,0.003152
7354,G86,G100,0.003127
7369,G94,G100,0.003114
7408,G19,G100,0.003086
7506,G91,G100,0.003007
7536,G57,G100,0.002985
7587,G40,G100,0.002948
7610,G58,G100,0.002934
7628,G6,G100,0.00292
7769,G18,G100,0.002802
7809,G41,G100,0.002777
7892,G35,G100,0.00271
7898,G54,G100,0.002708
7973,G23,G100,0.002663
8069,G77,G100,0.002591
8099,G96,G100,0.002568
8143,G44,G100,0.002526
8180,G75,G100,0.002494
8267,G78,G100,0.00242
8280,G12,G100,0.002416
8352,G76,G100,0.002348
8355,G38,G100,0.002348
8431,G42,G100,0.002287
8600,G36,G100,0.002141
8603,G50,G100,0.002139
8637,G49,G100,0.002104
8660,G10,G100,0.00209
8665,G47,G100,0.002085
8734,G52,G100,0.002029
8786,G59,G100,0.001983
8789,G68,G100,0.001978
8826,G88,G100,0.001941
8833,G28,G100,0.001934
8884,G90,G100,0.001886
8948,G26,G100,0.001812
9013,G98,G100,0.001731
9050,G92,G100,0.001693
9082,G89,G100,0.001651
9218,G63,G100,0.001486
9227,G17,G100,0.001479
9263,G81,G100,0.001434
9280,G97,G100,0.001419
9307,G56,G100,0.001395
9393,G7,G100,0.001288
9524,G66,G100,0.001096
