,Unnamed: 0,source,target,value,z_score
0,171,G44,G79,0.060688,5.662926280755578
1,231,G6,G79,0.047574,4.1994371977894644
2,336,G8,G79,0.036176,2.9274493552053746
3,371,G20,G79,0.033366,2.6138604942068406
4,442,G95,G79,0.029271,2.156868897840649
5,460,G39,G79,0.028036,2.019046035444496
6,476,G96,G79,0.027077,1.9120240718510468
7,750,G52,G79,0.019816,1.1017149189292115
8,834,G93,G79,0.018396,0.9432465265384931
9,927,G11,G79,0.017036,0.7914739817135797
10,984,G63,G79,0.016262,0.7050975481146952
11,1000,G47,G79,0.016117,0.6889159164973332
12,1078,G32,G79,0.015314,0.5993031565749762
13,1229,G92,G79,0.014027,0.455677226288459
14,1242,G77,G79,0.013916,0.44328990829171977
15,1244,G22,G79,0.013909,0.4425087260757092
16,1298,G24,G79,0.013421,0.38804916587382865
17,1361,G5,G79,0.012939,0.3342591904285285
18,1377,G56,G79,0.012796,0.3183007537300265
19,1501,G18,G79,0.011992,0.22857639634823937
20,1504,G54,G79,0.011985,0.22779521413222897
21,1520,G23,G79,0.011883,0.21641227327036033
22,1533,G72,G79,0.01181,0.20826565873196423
23,1649,G45,G79,0.011303,0.1516857468009121
24,1687,G94,G79,0.011099,0.12891986507717498
25,1743,G64,G79,0.010878,0.10425682654312668
26,1814,G90,G79,0.010617,0.07512988963187485
27,1829,G86,G79,0.010582,0.07122397855182189
28,1905,G78,G79,0.010222,0.03104889315699198
29,1963,G29,G79,0.010001,0.006385854622943483
30,2158,G65,G79,0.00938,-0.06291616768313828
31,2177,G1,G79,0.009328,-0.0687192355735026
32,2196,G74,G79,0.009267,-0.07552668059873771
33,2212,G36,G79,0.009223,-0.08043696881366126
34,2220,G57,G79,0.009201,-0.08289211292112303
35,2297,G9,G79,0.00896,-0.1097871006437733
36,2308,G88,G79,0.008918,-0.11447419393983664
37,2386,G69,G79,0.008709,-0.13779806296072417
38,2390,G42,G79,0.008702,-0.13857924517673476
39,2453,G33,G79,0.008532,-0.1575508132798489
40,2506,G53,G79,0.008416,-0.17049611857373856
41,2528,G70,G79,0.008349,-0.17797314835555408
42,2532,G55,G79,0.008338,-0.17920072040928506
43,2611,G89,G79,0.008168,-0.19817228851239924
44,2649,G15,G79,0.008103,-0.20542612337535454
45,2724,G100,G79,0.007935,-0.2241744965596087
46,2839,G73,G79,0.007724,-0.24772156049935623
47,2963,G68,G79,0.007501,-0.2726077939522648
48,3004,G62,G79,0.007448,-0.27852245930205927
49,3014,G41,G79,0.007438,-0.27963843389636
50,3228,G80,G79,0.007069,-0.32081789642606084
51,3235,G48,G79,0.007058,-0.3220454684797917
52,3244,G99,G79,0.007046,-0.3233846379929527
53,3400,G60,G79,0.006782,-0.35284636728249474
54,3423,G35,G79,0.006751,-0.3563058885248273
55,3568,G3,G79,0.006543,-0.3795181600862846
56,3657,G30,G79,0.00641,-0.39436062219048573
57,3668,G91,G79,0.006399,-0.3955881942442166
58,3741,G13,G79,0.006294,-0.4073059274843754
59,3785,G27,G79,0.006247,-0.4125510080775893
60,3883,G83,G79,0.006125,-0.42616589812805944
61,3972,G2,G79,0.006017,-0.4382184237465085
62,4009,G38,G79,0.005971,-0.44335190688029236
63,4061,G14,G79,0.005903,-0.45094053412153795
64,4281,G51,G79,0.005675,-0.4763847548715969
65,4325,G49,G79,0.005632,-0.4811834456270906
66,4332,G7,G79,0.005626,-0.48185303038367105
67,4529,G19,G79,0.005426,-0.5041725222696877
68,4544,G21,G79,0.005401,-0.5069624587554398
69,4634,G66,G79,0.005314,-0.516671437725857
70,4659,G84,G79,0.005272,-0.5213585310219205
71,4665,G10,G79,0.005268,-0.5218049208596409
72,4753,G12,G79,0.00519,-0.5305095226951874
73,4815,G85,G79,0.005137,-0.5364241880449818
74,4836,G43,G79,0.00511,-0.539437319449594
75,4946,G16,G79,0.005004,-0.551266650149183
76,4966,G67,G79,0.004991,-0.552717417121774
77,5115,G59,G79,0.00484,-0.5695686334957166
78,5290,G58,G79,0.00469,-0.5863082524102291
79,5292,G75,G79,0.004689,-0.5864198498696592
80,5392,G98,G79,0.004609,-0.5953476466240658
81,5441,G4,G79,0.004574,-0.5992535577041187
82,5710,G82,G79,0.004356,-0.6235818038598769
83,5763,G25,G79,0.004315,-0.6281572996965102
84,5917,G76,G79,0.004206,-0.6403214227743894
85,6068,G37,G79,0.004087,-0.6536015204465693
86,6093,G34,G79,0.004066,-0.655945067094601
87,6176,G46,G79,0.003993,-0.6640916816329971
88,6294,G40,G79,0.003904,-0.6740238555222746
89,6386,G50,G79,0.003839,-0.6812776903852299
90,6427,G61,G79,0.003813,-0.6841792243304121
91,6454,G97,G79,0.003799,-0.6857415887624333
92,6483,G87,G79,0.003778,-0.688085135410465
93,6590,G17,G79,0.003705,-0.6962317499488612
94,6773,G31,G79,0.003563,-0.712078589187933
95,6817,G81,G79,0.003526,-0.7162076951868461
96,7287,G28,G79,0.003174,-0.7554900009062354
97,8006,G71,G79,0.002634,-0.8157526289984803
98,8211,G26,G79,0.002464,-0.8347241971015945
