source,target,value,z_score
G9,G13,0.156061,6.681505154
G92,G13,0.131861,5.574392826
G68,G13,0.082599,3.320733012
G65,G13,0.041251,1.429126378
G58,G13,0.030087,0.918390757
G29,G13,0.028125,0.828632312
G52,G13,0.026311,0.745644635
G2,G13,0.024288,0.653095535
G90,G13,0.024027,0.641155191
G99,G13,0.019885,0.451665139
G7,G13,0.018909,0.407014658
G16,G13,0.014596,0.209701622
G19,G13,0.014278,0.195153617
G44,G13,0.01328,0.149496671
G78,G13,0.012396,0.109055047
G93,G13,0.011587,0.072044556
G37,G13,0.01106,0.047935126
G49,G13,0.010397,0.017603909
G73,G13,0.009825,-0.008564201
G82,G13,0.008965,-0.047907862
G64,G13,0.008527,-0.06794568
G75,G13,0.007995,-0.092283852
G20,G13,0.007628,-0.109073531
G91,G13,0.007495,-0.115158074
G4,G13,0.00746,-0.116759269
G30,G13,0.00672,-0.150613117
G21,G13,0.006376,-0.166350582
G60,G13,0.006162,-0.176140749
G63,G13,0.006106,-0.178702662
G39,G13,0.00606,-0.18080709
G33,G13,0.006015,-0.18286577
G79,G13,0.005288,-0.216124888
G41,G13,0.005256,-0.217588838
G32,G13,0.005217,-0.219373028
G27,G13,0.005167,-0.22166045
G38,G13,0.005053,-0.226875772
G18,G13,0.004964,-0.230947384
G5,G13,0.004962,-0.231038881
G83,G13,0.00496,-0.231130378
G62,G13,0.004948,-0.231679359
G66,G13,0.004799,-0.238495877
G56,G13,0.004632,-0.246135867
G95,G13,0.004596,-0.247782811
G6,G13,0.004499,-0.25222041
G89,G13,0.004386,-0.257389984
G24,G13,0.00437,-0.258121959
G84,G13,0.004133,-0.26896434
G14,G13,0.004057,-0.272441222
G70,G13,0.004047,-0.272898706
G76,G13,0.004006,-0.274774393
G22,G13,0.00389,-0.280081212
G71,G13,0.003888,-0.280172709
G81,G13,0.003848,-0.282002647
G54,G13,0.003816,-0.283466597
G26,G13,0.003808,-0.283832584
G88,G13,0.003793,-0.284518811
G100,G13,0.003547,-0.295772928
G45,G13,0.003503,-0.29778586
G59,G13,0.003477,-0.298975319
G28,G13,0.003447,-0.300347772
G98,G13,0.003301,-0.307027045
G69,G13,0.003301,-0.307027045
G10,G13,0.00328,-0.307987762
G55,G13,0.003246,-0.30954321
G61,G13,0.003194,-0.311922129
G74,G13,0.003186,-0.312288116
G40,G13,0.00318,-0.312562607
G36,G13,0.003124,-0.31512452
G11,G13,0.003098,-0.316313979
G85,G13,0.003045,-0.318738647
G72,G13,0.003009,-0.320385591
G67,G13,0.002923,-0.324319957
G35,G13,0.002892,-0.325738158
G57,G13,0.002892,-0.325738158
G96,G13,0.002842,-0.328025581
G50,G13,0.002758,-0.33186845
G47,G13,0.002693,-0.334842099
G87,G13,0.002692,-0.334887847
G48,G13,0.002682,-0.335345332
G94,G13,0.002604,-0.33891371
G80,G13,0.002509,-0.343259812
G1,G13,0.002431,-0.346828191
G25,G13,0.002429,-0.346919688
G77,G13,0.002282,-0.353644709
G23,G13,0.002261,-0.354605426
G53,G13,0.002242,-0.355474647
G3,G13,0.002207,-0.357075842
G43,G13,0.002198,-0.357487578
G31,G13,0.00213,-0.360598472
G97,G13,0.002083,-0.362748649
G17,G13,0.002063,-0.363663618
G42,G13,0.002014,-0.365905292
G46,G13,0.001998,-0.366637267
G86,G13,0.001945,-0.369061934
G15,G13,0.001837,-0.374002766
G51,G13,0.001804,-0.375512465
G34,G13,0.001563,-0.38653784
G8,G13,0.001472,-0.390700948
G12,G13,0.001109,-0.407307633
