,source,target,value
97,G99,G50,0.095569
108,G68,G50,0.088716
473,G4,G50,0.027219
489,G74,G50,0.026597
553,G31,G50,0.024289
612,G56,G50,0.022959
621,G61,G50,0.022618
652,G8,G50,0.021963
735,G9,G50,0.020118
872,G39,G50,0.017688
922,G81,G50,0.017064
942,G94,G50,0.016845
1044,G67,G50,0.015633
1262,G80,G50,0.013742
1279,G97,G50,0.013577
1332,G7,G50,0.013146
1453,G59,G50,0.012334
1725,G14,G50,0.010954
1800,G57,G50,0.010673
1808,G47,G50,0.010636
1910,G11,G50,0.010198
1919,G1,G50,0.010172
1921,G79,G50,0.010171
1976,G85,G50,0.009955
2085,G13,G50,0.009603
2153,G6,G50,0.009425
2247,G30,G50,0.00911
2268,G37,G50,0.009047
2300,G12,G50,0.008952
2310,G45,G50,0.008913
2312,G72,G50,0.008907
2347,G10,G50,0.00881
2389,G60,G50,0.008704
2451,G20,G50,0.008537
2462,G3,G50,0.008518
2484,G73,G50,0.008463
2487,G58,G50,0.008461
2568,G43,G50,0.008262
2669,G21,G50,0.00805
2728,G51,G50,0.007929
2781,G36,G50,0.007842
2989,G83,G50,0.007467
3050,G22,G50,0.007371
3071,G16,G50,0.007326
3073,G19,G50,0.007321
3115,G5,G50,0.007255
3279,G24,G50,0.006979
3295,G34,G50,0.006949
3345,G69,G50,0.006863
3355,G26,G50,0.006843
3393,G89,G50,0.006794
3426,G54,G50,0.006751
3488,G18,G50,0.006665
3646,G96,G50,0.006428
3715,G100,G50,0.006331
3824,G17,G50,0.006207
3849,G27,G50,0.006172
3916,G87,G50,0.006082
4014,G91,G50,0.005965
4015,G32,G50,0.005964
4043,G64,G50,0.005931
4093,G33,G50,0.005875
4110,G25,G50,0.005856
4627,G49,G50,0.005319
4658,G75,G50,0.005273
4694,G76,G50,0.005244
4719,G48,G50,0.005225
4727,G63,G50,0.005218
4849,G40,G50,0.005099
4852,G35,G50,0.005094
4865,G62,G50,0.005081
5023,G95,G50,0.004933
5096,G23,G50,0.004851
5167,G92,G50,0.004791
5240,G78,G50,0.004741
5281,G28,G50,0.004699
5351,G77,G50,0.004636
5414,G70,G50,0.004591
5423,G98,G50,0.004586
5458,G88,G50,0.004561
5495,G38,G50,0.004525
5613,G86,G50,0.004425
5622,G46,G50,0.004419
5634,G52,G50,0.004408
5645,G53,G50,0.004398
5701,G65,G50,0.004362
5834,G90,G50,0.004263
5927,G2,G50,0.004197
6300,G44,G50,0.003902
6314,G41,G50,0.00389
6480,G42,G50,0.003781
6958,G66,G50,0.003417
7392,G82,G50,0.003099
7410,G29,G50,0.003084
7422,G93,G50,0.003077
7612,G84,G50,0.002932
7738,G71,G50,0.002829
8088,G15,G50,0.002579
8404,G55,G50,0.002307
