,source,target,value
117,G71,G53,0.082269
124,G69,G53,0.078577
154,G12,G53,0.064771
175,G55,G53,0.059647
219,G63,G53,0.050307
257,G22,G53,0.044175
325,G93,G53,0.037332
332,G26,G53,0.036802
436,G51,G53,0.029587
499,G32,G53,0.026122
523,G16,G53,0.025414
1173,G37,G53,0.014366
1218,G80,G53,0.014101
1422,G85,G53,0.012488
1487,G49,G53,0.012096
1521,G36,G53,0.011879
1769,G38,G53,0.010793
2165,G65,G53,0.009364
2316,G100,G53,0.0089
2441,G21,G53,0.008559
2605,G9,G53,0.008186
2614,G46,G53,0.008166
2733,G62,G53,0.007915
2872,G66,G53,0.007665
2957,G58,G53,0.007512
3081,G45,G53,0.007311
3246,G14,G53,0.007041
3284,G73,G53,0.006974
3357,G7,G53,0.006842
3377,G95,G53,0.006818
3442,G17,G53,0.006731
3456,G77,G53,0.006705
3472,G25,G53,0.006689
3579,G3,G53,0.006522
3647,G43,G53,0.006426
3756,G2,G53,0.006274
3759,G48,G53,0.006271
3810,G1,G53,0.006218
3815,G64,G53,0.006216
3838,G15,G53,0.006185
4094,G89,G53,0.005874
4179,G84,G53,0.005782
4186,G29,G53,0.005771
4323,G31,G53,0.005633
4345,G94,G53,0.005616
4660,G10,G53,0.005271
4668,G28,G53,0.005266
4833,G57,G53,0.005114
4994,G86,G53,0.004964
5065,G33,G53,0.004887
5250,G67,G53,0.004728
5252,G90,G53,0.004724
5450,G59,G53,0.004568
5497,G18,G53,0.004525
5568,G39,G53,0.004459
5646,G60,G53,0.004396
5653,G56,G53,0.00439
5800,G27,G53,0.004293
5866,G96,G53,0.004243
5868,G88,G53,0.004241
6416,G54,G53,0.00382
6497,G99,G53,0.003768
6675,G98,G53,0.003641
6679,G70,G53,0.003636
6749,G42,G53,0.003585
6785,G5,G53,0.003555
6812,G23,G53,0.003529
6931,G61,G53,0.003441
6949,G24,G53,0.003425
7196,G34,G53,0.003241
7269,G13,G53,0.003186
7284,G20,G53,0.003175
7290,G44,G53,0.003171
7390,G78,G53,0.003099
7399,G82,G53,0.003092
7403,G52,G53,0.003088
7431,G6,G53,0.003073
7623,G40,G53,0.002924
7657,G30,G53,0.002897
7709,G75,G53,0.002853
7774,G81,G53,0.002799
7803,G76,G53,0.002782
7821,G79,G53,0.002771
7831,G91,G53,0.002765
7832,G19,G53,0.002765
7837,G74,G53,0.00276
7846,G72,G53,0.002753
7878,G41,G53,0.00272
8144,G87,G53,0.002526
8285,G35,G53,0.002411
8411,G4,G53,0.0023
8469,G92,G53,0.002258
8530,G8,G53,0.002202
8533,G11,G53,0.002199
8624,G97,G53,0.002122
8669,G83,G53,0.002082
8693,G50,G53,0.002061
8969,G47,G53,0.00178
9130,G68,G53,0.001599
