,source,target,value
78,G26,G28,0.114289
299,G31,G28,0.039998
350,G7,G28,0.034738
378,G19,G28,0.032964
404,G56,G28,0.031181
464,G80,G28,0.027896
675,G65,G28,0.021171
687,G22,G28,0.02095
690,G27,G28,0.020884
718,G58,G28,0.02037
774,G41,G28,0.019273
792,G66,G28,0.019012
839,G50,G28,0.018277
947,G49,G28,0.016741
1151,G23,G28,0.014563
1240,G75,G28,0.013925
1278,G91,G28,0.01358
1284,G34,G28,0.013498
1357,G43,G28,0.012986
1363,G21,G28,0.012886
1540,G59,G28,0.011791
1555,G96,G28,0.011728
1560,G93,G28,0.011706
1586,G13,G28,0.011593
1636,G53,G28,0.011365
1640,G90,G28,0.011333
1759,G86,G28,0.010822
1937,G69,G28,0.010095
1947,G5,G28,0.010066
1972,G78,G28,0.009974
1986,G100,G28,0.009928
2043,G63,G28,0.009751
2074,G83,G28,0.009637
2092,G4,G28,0.009588
2118,G12,G28,0.009521
2334,G16,G28,0.008857
2525,G87,G28,0.008352
2541,G89,G28,0.008327
2707,G24,G28,0.007965
2815,G98,G28,0.007773
2835,G2,G28,0.007732
2912,G57,G28,0.007584
2960,G46,G28,0.007509
3033,G17,G28,0.007408
3043,G10,G28,0.007387
3118,G64,G28,0.00725
3262,G18,G28,0.007012
3265,G76,G28,0.007007
3565,G32,G28,0.006553
3649,G67,G28,0.006425
3663,G62,G28,0.006406
3689,G73,G28,0.006368
3704,G37,G28,0.006343
3777,G84,G28,0.006251
3837,G52,G28,0.006189
3989,G29,G28,0.005998
4348,G94,G28,0.005614
4462,G72,G28,0.005495
4548,G42,G28,0.005396
4636,G15,G28,0.005312
4667,G36,G28,0.005266
4787,G6,G28,0.005162
4791,G33,G28,0.005156
4838,G61,G28,0.005106
4977,G30,G28,0.004981
5130,G47,G28,0.004819
5236,G9,G28,0.004748
5251,G38,G28,0.004727
5540,G8,G28,0.004491
5572,G88,G28,0.004456
5601,G71,G28,0.004432
5757,G79,G28,0.004321
5954,G44,G28,0.004178
6042,G97,G28,0.004105
6235,G35,G28,0.003945
6321,G85,G28,0.003887
6426,G68,G28,0.003814
6475,G40,G28,0.003783
6596,G95,G28,0.003701
6602,G70,G28,0.003694
6712,G54,G28,0.00361
6834,G3,G28,0.003513
6961,G77,G28,0.003414
7011,G55,G28,0.003371
7069,G48,G28,0.003333
7085,G92,G28,0.00332
7147,G39,G28,0.003275
7199,G81,G28,0.003239
7216,G60,G28,0.003223
7217,G14,G28,0.003223
7421,G51,G28,0.003079
7445,G45,G28,0.003063
7455,G20,G28,0.003055
7737,G99,G28,0.002831
7761,G74,G28,0.002809
7794,G1,G28,0.002787
8196,G11,G28,0.002479
8589,G82,G28,0.002157
8653,G25,G28,0.002094
