,source,target,value
44,G85,G37,0.19038
61,G21,G37,0.13237
72,G71,G37,0.124444
111,G31,G37,0.086831
169,G15,G37,0.06173
422,G100,G37,0.030289
493,G22,G37,0.026348
586,G69,G37,0.023723
723,G7,G37,0.020322
828,G29,G37,0.01848
833,G26,G37,0.018417
874,G89,G37,0.017683
1072,G10,G37,0.015355
1082,G53,G37,0.01527
1088,G63,G37,0.015206
1273,G12,G37,0.013617
1341,G38,G37,0.013083
1365,G84,G37,0.012874
1401,G28,G37,0.012648
1499,G80,G37,0.011998
1607,G25,G37,0.011517
2155,G48,G37,0.009399
3713,G55,G37,0.006333
5670,G70,G37,0.004382
5733,G99,G37,0.004342
6053,G16,G37,0.004097
6303,G35,G37,0.003898
6946,G51,G37,0.003429
7329,G98,G37,0.003137
7971,G1,G37,0.002663
8054,G54,G37,0.002598
8296,G3,G37,0.002401
8315,G40,G37,0.002382
8444,G60,G37,0.002281
8520,G46,G37,0.002213
8545,G47,G37,0.002193
8702,G4,G37,0.002051
8842,G61,G37,0.001929
8946,G18,G37,0.001818
8975,G6,G37,0.001776
8978,G39,G37,0.001772
9026,G87,G37,0.001715
9058,G68,G37,0.001679
9178,G5,G37,0.001535
9198,G74,G37,0.001506
9241,G94,G37,0.00146
9276,G11,G37,0.001424
9281,G76,G37,0.001419
9284,G81,G37,0.001415
9288,G88,G37,0.001409
9327,G33,G37,0.001374
9349,G23,G37,0.001344
9369,G50,G37,0.001326
9394,G27,G37,0.001287
9404,G79,G37,0.00127
9430,G20,G37,0.001237
9433,G97,G37,0.001232
9457,G93,G37,0.001196
9480,G65,G37,0.001166
9509,G43,G37,0.001124
9513,G36,G37,0.001113
9559,G78,G37,0.001049
9568,G86,G37,0.001037
9574,G8,G37,0.001029
9594,G91,G37,0.000997
9607,G95,G37,0.000972
9610,G67,G37,0.000968
9612,G73,G37,0.000966
9613,G44,G37,0.000965
9614,G2,G37,0.000963
9631,G64,G37,0.000923
9644,G96,G37,0.000904
9646,G41,G37,0.000901
9647,G9,G37,0.000901
9667,G82,G37,0.000872
9680,G56,G37,0.000851
9694,G24,G37,0.000834
9700,G72,G37,0.000826
9702,G77,G37,0.000825
9706,G49,G37,0.000818
9716,G30,G37,0.000805
9718,G42,G37,0.000802
9727,G92,G37,0.000788
9735,G52,G37,0.000771
9742,G34,G37,0.000751
9744,G14,G37,0.000746
9754,G58,G37,0.000723
9765,G66,G37,0.000693
9767,G13,G37,0.000687
9769,G75,G37,0.000685
9773,G62,G37,0.000682
9774,G19,G37,0.00068
9779,G90,G37,0.00066
9786,G32,G37,0.000649
9789,G45,G37,0.000633
9790,G17,G37,0.000632
9794,G83,G37,0.000629
9816,G57,G37,0.000536
9820,G59,G37,0.00053
