,source,target,value
32,G59,G25,0.24657
112,G82,G25,0.086472
277,G69,G25,0.042397
278,G48,G25,0.042173
292,G92,G25,0.040457
373,G17,G25,0.033307
407,G87,G25,0.031057
632,G20,G25,0.022358
819,G63,G25,0.01859
849,G85,G25,0.018081
899,G80,G25,0.017424
937,G67,G25,0.01689
1443,G78,G25,0.012367
1490,G100,G25,0.012046
1602,G71,G25,0.011543
1627,G19,G25,0.011407
1825,G72,G25,0.010589
2496,G97,G25,0.008447
2906,G46,G25,0.007597
2937,G5,G25,0.007549
3015,G94,G25,0.007437
3094,G57,G25,0.007287
3443,G77,G25,0.006727
3476,G62,G25,0.006679
3601,G68,G25,0.006502
3825,G51,G25,0.0062
4041,G14,G25,0.005935
4107,G26,G25,0.005861
4278,G43,G25,0.005678
4322,G16,G25,0.005636
4452,G40,G25,0.005505
4476,G65,G25,0.005467
4612,G47,G25,0.005336
4628,G56,G25,0.005319
4806,G64,G25,0.005142
4937,G12,G25,0.005012
5000,G21,G25,0.004958
5060,G98,G25,0.004894
5106,G3,G25,0.004845
5187,G23,G25,0.004781
5234,G75,G25,0.004749
5303,G83,G25,0.004679
5386,G58,G25,0.004612
5805,G42,G25,0.004289
5896,G24,G25,0.004217
5990,G74,G25,0.004148
6168,G9,G25,0.003997
6234,G31,G25,0.003945
6237,G90,G25,0.003943
6247,G36,G25,0.003937
6253,G8,G25,0.003934
6296,G41,G25,0.003903
6502,G38,G25,0.003765
6607,G4,G25,0.003691
6609,G76,G25,0.00369
7042,G96,G25,0.003352
7047,G84,G25,0.003349
7148,G15,G25,0.003275
7178,G2,G25,0.003257
7305,G28,G25,0.003157
7309,G54,G25,0.003153
7378,G60,G25,0.003108
7391,G1,G25,0.003099
7509,G37,G25,0.003006
7526,G52,G25,0.002993
7548,G13,G25,0.002974
7606,G49,G25,0.002935
7627,G29,G25,0.002921
7707,G22,G25,0.002854
7733,G44,G25,0.002835
7750,G61,G25,0.002821
7783,G50,G25,0.002793
7786,G93,G25,0.00279
7849,G33,G25,0.002747
7880,G81,G25,0.002718
7906,G39,G25,0.002707
8115,G34,G25,0.002551
8126,G79,G25,0.002539
8161,G30,G25,0.002507
8254,G32,G25,0.00243
8345,G66,G25,0.002355
8360,G99,G25,0.002341
8412,G7,G25,0.002299
8415,G91,G25,0.002298
8498,G35,G25,0.002227
8540,G53,G25,0.002194
8615,G10,G25,0.00213
8616,G89,G25,0.002126
8670,G95,G25,0.00208
8689,G73,G25,0.002064
8692,G55,G25,0.002063
8710,G27,G25,0.002045
8799,G18,G25,0.001969
8804,G45,G25,0.001964
8854,G88,G25,0.001918
8873,G70,G25,0.001903
9002,G11,G25,0.001745
9064,G86,G25,0.001667
9431,G6,G25,0.001234
