,source,target,value
106,G66,G42,0.089974
118,G94,G42,0.082264
142,G93,G42,0.071386
222,G83,G42,0.050166
297,G14,G42,0.04013
433,G35,G42,0.029633
467,G47,G42,0.027758
532,G1,G42,0.02506
659,G29,G42,0.021649
729,G73,G42,0.020191
934,G49,G42,0.016935
987,G85,G42,0.016221
1138,G18,G42,0.014695
1174,G43,G42,0.014363
1231,G10,G42,0.014003
1267,G80,G42,0.0137
1328,G98,G42,0.013177
1680,G65,G42,0.011146
1771,G67,G42,0.010787
1893,G72,G42,0.010307
1918,G88,G42,0.010174
1967,G96,G42,0.009995
1983,G5,G42,0.009938
2006,G53,G42,0.00986
2010,G2,G42,0.009846
2042,G17,G42,0.009753
2055,G12,G42,0.00971
2237,G24,G42,0.009141
2498,G11,G42,0.008437
2554,G54,G42,0.008309
2581,G44,G42,0.00824
2587,G33,G42,0.008227
2727,G55,G42,0.00793
2893,G68,G42,0.007625
3144,G25,G42,0.007215
3156,G38,G42,0.007187
3169,G77,G42,0.007158
3173,G97,G42,0.007154
3181,G76,G42,0.007145
3487,G32,G42,0.006667
3600,G69,G42,0.006503
3745,G37,G42,0.006285
3828,G45,G42,0.006196
4072,G100,G42,0.005891
4204,G48,G42,0.005757
4361,G13,G42,0.005593
4601,G3,G42,0.005347
4633,G62,G42,0.005314
4739,G41,G42,0.005206
4964,G61,G42,0.004992
4967,G52,G42,0.00499
5058,G21,G42,0.004895
5072,G40,G42,0.004881
5103,G57,G42,0.004847
5316,G58,G42,0.004669
5340,G81,G42,0.004649
5365,G30,G42,0.004628
5532,G34,G42,0.004499
5534,G4,G42,0.004498
5537,G22,G42,0.004496
5929,G15,G42,0.004195
5976,G23,G42,0.004161
5982,G87,G42,0.004155
6158,G92,G42,0.004011
6249,G6,G42,0.003936
6256,G27,G42,0.003931
6295,G39,G42,0.003903
6362,G46,G42,0.003854
6391,G82,G42,0.003837
6448,G9,G42,0.003802
6525,G74,G42,0.003752
6652,G95,G42,0.003662
6655,G36,G42,0.00366
6657,G91,G42,0.003658
6658,G86,G42,0.003657
6763,G60,G42,0.00357
6886,G59,G42,0.003474
6890,G90,G42,0.003474
6937,G89,G42,0.003436
7058,G16,G42,0.003344
7089,G79,G42,0.003316
7276,G64,G42,0.003182
7317,G99,G42,0.003148
7347,G50,G42,0.00313
7457,G19,G42,0.003048
7462,G70,G42,0.003043
7515,G63,G42,0.003001
7608,G84,G42,0.002935
7967,G51,G42,0.002666
7991,G78,G42,0.002649
8033,G31,G42,0.002608
8213,G56,G42,0.002464
8220,G75,G42,0.002454
8309,G20,G42,0.002387
8326,G71,G42,0.00237
8367,G26,G42,0.002335
8374,G8,G42,0.002332
8379,G7,G42,0.00233
8595,G28,G42,0.002151
