,source,target,value
182,G33,G89,0.056515
189,G85,G89,0.054306
246,G37,G89,0.045065
252,G15,G89,0.044563
287,G97,G89,0.041319
301,G71,G89,0.039938
370,G2,G89,0.033444
392,G43,G89,0.032128
455,G21,G89,0.028577
905,G91,G89,0.017332
906,G10,G89,0.01731
908,G36,G89,0.017274
944,G55,G89,0.016788
960,G90,G89,0.016534
1010,G38,G89,0.016035
1137,G86,G89,0.014699
1211,G100,G89,0.014155
1225,G84,G89,0.014076
1252,G12,G89,0.013822
1430,G63,G89,0.012444
1489,G29,G89,0.012059
1552,G28,G89,0.011734
1748,G6,G89,0.010851
1824,G61,G89,0.010591
1888,G18,G89,0.010331
1931,G16,G89,0.010114
1952,G66,G89,0.010046
1982,G53,G89,0.009938
2099,G54,G89,0.009569
2125,G76,G89,0.009503
2141,G20,G89,0.009466
2178,G87,G89,0.00932
2555,G48,G89,0.008306
2558,G94,G89,0.008292
2629,G56,G89,0.00814
2755,G69,G89,0.007885
2857,G24,G89,0.007689
2959,G80,G89,0.007511
2981,G74,G89,0.007483
3123,G92,G89,0.007245
3151,G17,G89,0.007196
3207,G41,G89,0.007106
3305,G7,G89,0.006934
3432,G65,G89,0.006739
3493,G25,G89,0.006658
3544,G95,G89,0.006578
3614,G96,G89,0.00648
3716,G73,G89,0.006331
3960,G47,G89,0.006036
4135,G31,G89,0.00583
4240,G52,G89,0.005716
4388,G50,G89,0.005566
4394,G1,G89,0.005562
4459,G32,G89,0.005502
4506,G35,G89,0.005441
4527,G83,G89,0.005428
4577,G22,G89,0.005371
4600,G68,G89,0.005348
4605,G78,G89,0.005343
4629,G8,G89,0.005317
4672,G39,G89,0.005264
4679,G4,G89,0.005257
4801,G46,G89,0.005146
4866,G26,G89,0.005078
5007,G44,G89,0.004949
5110,G62,G89,0.004842
5338,G3,G89,0.00465
5508,G49,G89,0.004518
5526,G34,G89,0.004503
5528,G72,G89,0.004502
5752,G64,G89,0.004323
5785,G79,G89,0.004302
5826,G30,G89,0.004272
5922,G98,G89,0.004202
5943,G19,G89,0.004184
6238,G57,G89,0.003943
6279,G5,G89,0.003917
6403,G81,G89,0.003829
6552,G45,G89,0.003731
6966,G93,G89,0.003409
7035,G13,G89,0.003354
7074,G40,G89,0.003328
7197,G11,G89,0.003239
7389,G27,G89,0.0031
7593,G23,G89,0.002944
7767,G58,G89,0.002805
7777,G99,G89,0.002796
7845,G9,G89,0.002753
7888,G77,G89,0.002714
7929,G67,G89,0.002691
8229,G88,G89,0.002449
8453,G70,G89,0.002266
8502,G42,G89,0.002224
8568,G82,G89,0.002172
8631,G59,G89,0.002117
8647,G60,G89,0.002099
8699,G14,G89,0.002053
8885,G75,G89,0.001886
8982,G51,G89,0.001768
