,source,target,value
12,G81,G34,0.413752
405,G40,G34,0.031127
887,G77,G34,0.017545
889,G42,G34,0.017523
1181,G17,G34,0.014323
1208,G28,G34,0.014175
1359,G61,G34,0.012945
1452,G72,G34,0.012338
1488,G20,G34,0.01208
1594,G33,G34,0.011573
1925,G59,G34,0.010148
1958,G14,G34,0.010015
2375,G62,G34,0.008755
2463,G65,G34,0.008517
2490,G30,G34,0.008458
2543,G66,G34,0.008325
2559,G8,G34,0.008289
2583,G44,G34,0.008238
2601,G21,G34,0.008198
2604,G39,G34,0.008191
2792,G3,G34,0.007816
2910,G97,G34,0.007587
3028,G12,G34,0.007412
3034,G5,G34,0.007407
3194,G80,G34,0.00713
3238,G91,G34,0.007053
3459,G74,G34,0.006703
3490,G36,G34,0.006663
3545,G58,G34,0.006576
3682,G26,G34,0.006378
3929,G84,G34,0.006069
3994,G96,G34,0.005991
4056,G29,G34,0.005911
4132,G48,G34,0.005832
4162,G46,G34,0.005804
4214,G24,G34,0.005745
4326,G69,G34,0.005631
4340,G18,G34,0.00562
4382,G100,G34,0.005572
4427,G90,G34,0.00553
4511,G7,G34,0.005439
4664,G47,G34,0.005269
4743,G85,G34,0.005203
4868,G45,G34,0.005076
4889,G83,G34,0.00505
5037,G27,G34,0.004919
5117,G31,G34,0.004837
5146,G49,G34,0.004806
5183,G43,G34,0.004783
5195,G95,G34,0.004774
5215,G4,G34,0.004761
5224,G60,G34,0.004756
5322,G94,G34,0.004664
5364,G53,G34,0.004628
5401,G75,G34,0.004598
5433,G76,G34,0.00458
5531,G23,G34,0.004499
5708,G15,G34,0.004358
5761,G22,G34,0.004315
5808,G54,G34,0.004289
5822,G68,G34,0.004281
5928,G88,G34,0.004195
5953,G19,G34,0.004179
5965,G1,G34,0.004172
6036,G92,G34,0.004108
6076,G78,G34,0.004081
6160,G50,G34,0.00401
6255,G89,G34,0.003932
6418,G79,G34,0.00382
6548,G87,G34,0.003734
6611,G93,G34,0.003689
6713,G2,G34,0.00361
6721,G98,G34,0.003602
6836,G10,G34,0.003511
6867,G67,G34,0.00349
6873,G32,G34,0.003486
6880,G6,G34,0.00348
6990,G25,G34,0.00339
7161,G13,G34,0.003268
7219,G64,G34,0.003218
7273,G35,G34,0.003185
7320,G52,G34,0.003146
7474,G37,G34,0.003033
7502,G86,G34,0.003009
7530,G41,G34,0.002988
7736,G99,G34,0.002831
7966,G63,G34,0.002666
7987,G38,G34,0.002653
7995,G11,G34,0.002644
8029,G71,G34,0.00261
8085,G70,G34,0.00258
8305,G73,G34,0.002393
8334,G82,G34,0.002365
8375,G9,G34,0.002332
8383,G16,G34,0.002324
8598,G55,G34,0.002145
8718,G57,G34,0.002039
8849,G56,G34,0.00192
8961,G51,G34,0.001794
